gene_symbol	entrez_id	method	cell_type	cell_line	cancer_cell	senescence_type	senescence_effect	description	organism
PMVK	10654	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
PNPT1	87178	"Overexpression"	"Melanoma"	"HO-1, FO-1, MeWo"	"Yes"	"Replicative"	"Promotes"	"Overexpression of PNPT1 in melanoma cells (HO-1, FO-1, MeWo) promoted a senescence-like phenotype characterized by growth arrest in the G1 phase, inhibition of DNA synthesis and telomerase activity, downregulation of c-myc and upregulation of senescence associated p27."	"Overexpression of PNPT1 in melanoma cells (HO-1, FO-1, MeWo) promoted a senescence-like phenotype characterized by growth arrest in the G1 phase, inhibition of DNA synthesis and telomerase activity, downregulation of c-myc and upregulation of senescence associated p27."
POT1	25913	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Inhibits"	"RNA interference of POT1 lead to the loss of telomeric single-stranded overhangs and induced apoptosis, chromosomal instability, and senescence in cells."	"RNA interference of POT1 lead to the loss of telomeric single-stranded overhangs and induced apoptosis, chromosomal instability, and senescence in cells."
POU5F1	5460	"Overexpression"	"Mesenchymal stromal"	"Primary cell"	"No"	"Replicative"	"Promotes"	"Overexpression of OCT4 (POU5F1) induced early senescence and resulted in increased expression of senescence factors, P14 and P16, in human mesenchymal stromal cells."	"Overexpression of OCT4 (POU5F1) induced early senescence and resulted in increased expression of senescence factors, P14 and P16, in human mesenchymal stromal cells."
PPM1B	5495	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Inhibits"	"PPM1B depletion induced a robust senescence phenotype as evidenced by significant growth arrest and senescence marker expression. Given that PPM1B depletion-induced senescence was partially rescued by inactivating p38 MAPK, the results identified PPM1B as a critical regulator of both p38 MAPK-dependent and independent senescence pathways during the normal cellular aging process."	"PPM1B depletion induced a robust senescence phenotype as evidenced by significant growth arrest and senescence marker expression. Given that PPM1B depletion-induced senescence was partially rescued by inactivating p38 MAPK, the results identified PPM1B as a critical regulator of both p38 MAPK-dependent and independent senescence pathways during the normal cellular aging process."
PPM1D	8493	"Overexpression"	"Mesenchymal stem"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Expression of the WIP1 protein (encoded by the PPM1D gene) significantly lowered the expression of p16 and lead to p38 MAPK inactivation, ultimately leading to a delayed cellular senescence of human mesenchymal stem cells (MSCs), including extended replicative potential and normal morphology, in addition to longer maintenance of cell multilineage differentiation potential."	"Expression of the WIP1 protein (encoded by the PPM1D gene) significantly lowered the expression of p16 and lead to p38 MAPK inactivation, ultimately leading to a delayed cellular senescence of human mesenchymal stem cells (MSCs), including extended replicative potential and normal morphology, in addition to longer maintenance of cell multilineage differentiation potential."
PRKCD	5580	"Overexpression, Knockdown"	"Lung fibroblast"	"TIG-1"	"No"	"Replicative"	"Promotes"	"Adenoviral transduction of PKC-delta (PRKCD) induced growth inhibition in lung fibroblasts (TIG-1 cells), causing enlarged and flattened cell morphology and increased SA-beta-galactosidase activity. Contrastly, RNA interference of PKC-delta antagonized oncogenic ras induced premature senescence."	"Adenoviral transduction of PKC-delta (PRKCD) induced growth inhibition in lung fibroblasts (TIG-1 cells), causing enlarged and flattened cell morphology and increased SA-beta-galactosidase activity. Contrastly, RNA interference of PKC-delta antagonized oncogenic ras induced premature senescence."
PRKCH	5583	"Overexpression, Knockdown"	"Breast cancer"	"MCF-7"	"Yes"	"Stress-induced"	"Promotes"	"It was shown that PKC-eta (PRKCH), an epithelial specific and anti-apoptotic kinase, promoted senescence induced by oxidative stress and DNA damage. In PKC-eta known down cells SA-beta-galactosidase activity was significantly lower compared to control cells in response to oxidative stress. In cells overexpressing PKC-eta senescence was promoted due to upregulation of cell cycle inhibitors p21 and p27 and enhanced transcription and secretion of IL-6. PKC-eta was further shown to create a positive loop for reinforcing senescence by increasing the transcription of both IL-6 and IL-6 receptor, whereas the expression of IL-8 was specifically suppressed by PKC-eta."	"It was shown that PKC-eta (PRKCH), an epithelial specific and anti-apoptotic kinase, promoted senescence induced by oxidative stress and DNA damage. In PKC-eta known down cells SA-beta-galactosidase activity was significantly lower compared to control cells in response to oxidative stress. In cells overexpressing PKC-eta senescence was promoted due to upregulation of cell cycle inhibitors p21 and p27 and enhanced transcription and secretion of IL-6. PKC-eta was further shown to create a positive loop for reinforcing senescence by increasing the transcription of both IL-6 and IL-6 receptor, whereas the expression of IL-8 was specifically suppressed by PKC-eta."
PRMT6	55170	"Knockdown"	"Breast cancer, Breast epithelial"	"MCF-7, MDA-MB-231, MDA-MB-468, SK-BR-3, MCF-10A"	"Yes"	"Replicative"	"Inhibits"	"Knockdown of PRMT6 resulted in p21 derepression in breast cancer cells leading to cell cycle arrest, cellular senescence and reduced growth in soft agar assays (and in severe combined immuno-deficiency mice) for all the cancer lines examined."	"Knockdown of PRMT6 resulted in p21 derepression in breast cancer cells leading to cell cycle arrest, cellular senescence and reduced growth in soft agar assays (and in severe combined immuno-deficiency mice) for all the cancer lines examined."
PROX1	5629	"Overexpression"	"Liver cancer"	"HepG2, Hep3B, Mahlavu, SK-HEP1"	"Yes"	"Replicative"	"Promotes"	"It was demonstrated that PROX1 induced a senescence-like phenotype in liver cancer cells and resulted in reduced cell proliferation. p53 was found to be a key mediator of PROX1-induced growth suppression because Prox1 only induced senescence-like phenotype in HCC cells harboring wild type p53. In addition, knockdown of p53 by shRNA reversed the effect of PROX1."	"It was demonstrated that PROX1 induced a senescence-like phenotype in liver cancer cells and resulted in reduced cell proliferation. p53 was found to be a key mediator of PROX1-induced growth suppression because Prox1 only induced senescence-like phenotype in HCC cells harboring wild type p53. In addition, knockdown of p53 by shRNA reversed the effect of PROX1."
PRPF19	27339	"Overexpression"	"Umbilical vein endothelial, Dermal fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Overexpression of SNEV (PRPF19) lead to a significant extension of cellular lifespan, delayed senescent cell morphology and decreased SA-beta-galactosidase activity."	"Overexpression of SNEV (PRPF19) lead to a significant extension of cellular lifespan, delayed senescent cell morphology and decreased SA-beta-galactosidase activity."
PSMB5	5693	"Overexpression"	"Multipotent bone marrow stromal"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"PSMB5 knockdown led to decreased proteasomal activity concurrent with reduced cell proliferation in early-stage hBMSCs, which was similar to the senescent phenotype observed in late-stage cells. In contrast, overexpressing PSMB5 in late-stage cells efficiently restored the normal activity of 20S proteasomes and promoted cell growth, possibly via upregulating the Cyclin D1/CDK4 complex. Additionally, PSMB5 enhanced cell resistance to oxidative stress evidenced by the increased cell survival upon exposing senescent hBMSCs to hydrogen peroxide."	"PSMB5 knockdown led to decreased proteasomal activity concurrent with reduced cell proliferation in early-stage hBMSCs, which was similar to the senescent phenotype observed in late-stage cells. In contrast, overexpressing PSMB5 in late-stage cells efficiently restored the normal activity of 20S proteasomes and promoted cell growth, possibly via upregulating the Cyclin D1/CDK4 complex. Additionally, PSMB5 enhanced cell resistance to oxidative stress evidenced by the increased cell survival upon exposing senescent hBMSCs to hydrogen peroxide."
PSMD14	10213	"Knockdown"	"Colorectal cancer, Melanoma, Pancreatic cancer, Lung cancer, Breast cancer, Cervical cancer, Prostate cancer, Ovarian cancer, Glioma"	"DU145, NCI-H460, HCT116, HeLa, Mia PaCa-2, SNB-75, NCI-H1299, NCI-H23, NCI-H522, SK-LU-1, A427, A549, SK-BR-3, SK-MEL-2, HCC1937, BTS49-SK-OV-3"	"Yes"	"Replicative"	"Inhibits"	"In several carcinoma cell types, down-regulation of PSMD14 by siRNA reduced cell viability causing cell arrest in the G0-G1 phase and ultimately leading to cellular senescence. This was accompanied by down-regulation of cyclin B1-CDK1-CDC25C, down-regulation of cyclin D1, up-regulation of p21 and p27, and reduction in phosphorylation of the Rb protein."	"In several carcinoma cell types, down-regulation of PSMD14 by siRNA reduced cell viability causing cell arrest in the G0-G1 phase and ultimately leading to cellular senescence. This was accompanied by down-regulation of cyclin B1-CDK1-CDC25C, down-regulation of cyclin D1, up-regulation of p21 and p27, and reduction in phosphorylation of the Rb protein."
PTRF	284119	"Overexpression, Knockdown"	"Lung fibroblast, Cervical cancer"	"WI-38, IMR-90, HeLa"	"No"	"Replicative"	"Promotes"	"Overexpression of PTRF induced characteristic features of cellular senescence, whereas reduced PTRF expression extended the cellular replicative lifespan."	"Overexpression of PTRF induced characteristic features of cellular senescence, whereas reduced PTRF expression extended the cellular replicative lifespan."
PTTG1	9232	"Overexpression"	"Foreskin fibroblast, Lung fibroblast"	"IMR-90, WI-38, BJ"	"No"	"Replicative"	"Promotes"	"Overexpression of PTTG1 in normal human fibroblasts inhibited cell proliferation and resulted in several signs of cellular senescence, including increased SA-beta-galactosidase activity, decreased BrdU incorporation and increased SA-heterochromatin foci formation. The PTTG1-induced senescence was p53-dependent and telomerase-independent."	"Overexpression of PTTG1 in normal human fibroblasts inhibited cell proliferation and resulted in several signs of cellular senescence, including increased SA-beta-galactosidase activity, decreased BrdU incorporation and increased SA-heterochromatin foci formation. The PTTG1-induced senescence was p53-dependent and telomerase-independent."
